date,destination,lat,lon,is_weekend,month,dow,temp_c,rain,marketing_spend,social_sentiment,price_index,bookings,avg_party_size,channel,lead_time_days,rooms_available,guides_available,vehicles_available
2024-06-24,Varanasi,25.3176,82.9739,0,6,0,36.7,0,341.08,0.688,53.32,973,2,Web,10,1400,160,500
2024-07-15,Agra,27.1767,78.0081,0,7,0,35.4,0,734.86,-0.032,59.05,921,3,App,4,1300,150,550
2025-06-21,Jaipur,26.9124,75.7873,1,6,5,38.1,0,339.72,-0.941,62.4,1497,3,App,13,1500,180,600
2025-05-17,Varanasi,25.3176,82.9739,1,5,5,34.1,0,436.4,-0.431,52.55,1260,1,App,9,1400,160,500
2025-08-02,Manali,32.2432,77.1892,1,8,5,20.7,1,299.01,0.138,85.71,859,1,App,11,1200,140,450
2024-07-30,Jaipur,26.9124,75.7873,0,7,1,38.2,0,274.73,-0.066,61.41,792,3,Kiosk,7,1500,180,600
2025-09-07,Agra,27.1767,78.0081,1,9,6,28.1,0,282.81,-0.533,57.89,634,2,App,4,1300,150,550
2024-12-14,Manali,32.2432,77.1892,1,12,5,5.7,0,762.2,-0.994,76.27,1030,2,App,5,1200,140,450
2024-07-04,Agra,27.1767,78.0081,0,7,3,36.8,0,513.53,-0.471,50.92,760,2,App,1,1300,150,550
2025-02-02,Jaipur,26.9124,75.7873,1,2,6,22.1,0,285.4,-0.664,56.38,1183,3,Web,18,1500,180,600
2025-06-19,Goa,15.2993,74.124,0,6,3,39.6,0,209.25,0.136,83.65,1306,2,Kiosk,5,2000,250,800
2025-08-07,Goa,15.2993,74.124,0,8,3,35.2,0,38.28,-0.169,69.3,894,2,Web,8,2000,250,800
2024-12-11,Goa,15.2993,74.124,0,12,2,20.0,0,515.73,-0.549,83.57,1385,3,Web,17,2000,250,800
2025-01-01,Andaman,11.7401,92.6586,0,1,2,20.1,0,492.95,0.817,88.11,751,2,Kiosk,9,900,120,300
2025-07-08,Kerala,10.8505,76.2711,0,7,1,36.7,0,66.44,-0.233,69.33,1090,2,App,11,1700,220,700
2024-06-16,Andaman,11.7401,92.6586,1,6,6,39.6,0,331.62,0.306,94.87,495,2,Web,13,900,120,300
2024-03-09,Jaipur,26.9124,75.7873,1,3,5,29.3,0,270.9,-0.198,67.53,1650,1,Web,11,1500,180,600
2025-03-08,Varanasi,25.3176,82.9739,1,3,5,25.5,0,245.5,0.027,51.39,1306,2,App,12,1400,160,500
2025-01-26,Jaipur,26.9124,75.7873,1,1,6,19.6,0,132.96,0.202,72.16,1160,3,App,3,1500,180,600
2025-05-27,Manali,32.2432,77.1892,0,5,1,22.9,0,74.55,-0.587,76.66,556,2,Kiosk,3,1200,140,450
2024-03-16,Agra,27.1767,78.0081,1,3,5,25.8,1,652.31,0.279,58.39,1117,2,Agent,12,1300,150,550
2024-09-07,Leh,34.1526,77.5771,1,9,5,10.0,0,543.63,0.816,94.16,400,2,Kiosk,7,600,90,220
2024-01-07,Varanasi,25.3176,82.9739,1,1,6,18.7,0,256.07,0.116,60.62,1099,3,Agent,13,1400,160,500
2025-03-20,Manali,32.2432,77.1892,0,3,3,15.0,0,728.53,-0.198,85.57,886,1,Web,15,1200,140,450
2024-02-14,Manali,32.2432,77.1892,0,2,2,10.2,0,42.36,-0.168,81.34,642,3,App,11,1200,140,450
2024-11-21,Andaman,11.7401,92.6586,0,11,3,19.4,0,610.64,0.695,82.46,579,2,Kiosk,34,900,120,300
2024-06-01,Varanasi,25.3176,82.9739,1,6,5,36.1,0,1028.1,0.145,49.12,1730,2,Kiosk,22,1400,160,500
2024-07-02,Andaman,11.7401,92.6586,0,7,1,37.4,1,283.37,-0.468,87.43,453,2,App,16,900,120,300
2024-04-22,Jaipur,26.9124,75.7873,0,4,0,32.5,0,179.26,0.964,68.58,974,2,Kiosk,11,1500,180,600
2024-07-08,Kerala,10.8505,76.2711,0,7,0,37.2,0,134.78,0.408,67.68,770,2,Agent,13,1700,220,700
2024-10-17,Kerala,10.8505,76.2711,0,10,3,24.2,0,151.77,-0.249,76.47,824,2,Kiosk,7,1700,220,700
2024-11-08,Agra,27.1767,78.0081,0,11,4,17.5,0,613.36,0.111,55.66,838,2,App,7,1300,150,550
2024-07-20,Jaipur,26.9124,75.7873,1,7,5,35.2,0,1029.22,0.076,53.81,1558,3,Agent,11,1500,180,600
2025-04-07,Varanasi,25.3176,82.9739,0,4,0,31.2,0,1480.33,0.085,55.7,1873,2,Agent,11,1400,160,500
2025-07-04,Leh,34.1526,77.5771,0,7,4,19.2,0,103.6,-1.0,102.81,362,3,Kiosk,22,600,90,220
2025-05-09,Jaipur,26.9124,75.7873,0,5,4,36.1,0,889.28,0.06,63.17,1488,2,App,11,1500,180,600
2024-05-17,Andaman,11.7401,92.6586,0,5,4,37.0,0,128.34,-0.094,101.52,407,3,Kiosk,14,900,120,300
2025-04-28,Jaipur,26.9124,75.7873,0,4,0,33.8,0,172.42,0.584,64.28,1106,1,App,2,1500,180,600
2024-07-14,Andaman,11.7401,92.6586,1,7,6,35.6,0,902.44,0.777,92.65,766,2,Kiosk,18,900,120,300
2024-03-13,Andaman,11.7401,92.6586,0,3,2,28.3,0,687.78,-0.067,92.05,786,1,Kiosk,17,900,120,300
2024-09-14,Varanasi,25.3176,82.9739,1,9,5,27.1,1,313.12,-0.426,54.46,701,1,App,3,1400,160,500
2025-02-04,Leh,34.1526,77.5771,0,2,1,5.5,0,252.0,-0.569,104.57,287,2,Agent,5,600,90,220
2025-01-09,Kerala,10.8505,76.2711,0,1,3,19.6,0,436.11,0.198,59.89,1501,2,App,9,1700,220,700
2024-12-15,Leh,34.1526,77.5771,1,12,6,0.4,0,319.99,-0.017,95.99,379,3,App,5,600,90,220
2025-08-27,Manali,32.2432,77.1892,0,8,2,19.1,0,43.11,-0.01,80.33,603,2,Agent,3,1200,140,450
2025-08-06,Kerala,10.8505,76.2711,0,8,2,33.9,0,533.81,0.754,65.0,1174,2,Web,12,1700,220,700
2024-10-06,Agra,27.1767,78.0081,1,10,6,19.9,0,182.7,-0.097,62.18,738,3,Kiosk,11,1300,150,550
2025-06-06,Leh,34.1526,77.5771,0,6,4,21.3,0,419.31,0.806,91.21,447,1,App,2,600,90,220
2025-03-24,Kerala,10.8505,76.2711,0,3,0,30.4,0,1180.94,-0.076,76.48,2243,2,Kiosk,21,1700,220,700
2024-11-13,Agra,27.1767,78.0081,0,11,2,16.7,0,307.41,0.431,55.2,928,2,Agent,13,1300,150,550
2025-01-26,Kerala,10.8505,76.2711,1,1,6,19.5,0,511.36,0.374,70.83,1728,3,Kiosk,10,1700,220,700
2024-05-31,Andaman,11.7401,92.6586,0,5,4,35.5,0,506.36,-0.136,87.19,588,2,Kiosk,19,900,120,300
2024-04-02,Varanasi,25.3176,82.9739,0,4,1,31.4,0,175.73,0.164,52.25,1012,2,Kiosk,12,1400,160,500
2024-08-12,Manali,32.2432,77.1892,0,8,0,20.6,0,361.38,0.015,80.76,659,3,Web,34,1200,140,450
2024-12-22,Jaipur,26.9124,75.7873,1,12,6,17.7,1,98.86,1.0,70.89,789,2,Web,24,1500,180,600
