date,destination,lat,lon,is_weekend,month,dow,temp_c,rain,marketing_spend,social_sentiment,price_index,bookings,avg_party_size,channel,lead_time_days,rooms_available,guides_available,vehicles_available
2025-05-25,Goa,15.2993,74.124,1,5,6,38.9,0,98.71,0.011,76.84,857,2,Agent,7,2000,250,800
2024-12-31,Jaipur,26.9124,75.7873,0,12,1,16.9,0,252.21,1.0,55.8,569,2,Kiosk,22,1500,180,600
2025-01-17,Andaman,11.7401,92.6586,0,1,4,20.2,0,363.87,0.709,89.15,640,3,App,15,900,120,300
2024-11-18,Goa,15.2993,74.124,0,11,0,21.7,0,899.93,0.141,81.5,676,3,Kiosk,2,2000,250,800
2024-04-08,Varanasi,25.3176,82.9739,0,4,0,30.8,0,1267.37,0.603,59.62,393,2,Agent,6,1400,160,500
2024-01-18,Goa,15.2993,74.124,0,1,3,23.2,0,869.03,0.136,78.41,942,2,Web,20,2000,250,800
2025-08-18,Kerala,10.8505,76.2711,0,8,0,35.6,0,324.03,0.866,58.26,371,2,Agent,8,1700,220,700
2024-04-16,Varanasi,25.3176,82.9739,0,4,1,30.5,0,469.21,0.156,43.22,633,3,Web,11,1400,160,500
2024-05-03,Kerala,10.8505,76.2711,0,5,4,37.2,0,490.43,0.332,70.36,716,2,App,4,1700,220,700
2025-07-23,Agra,27.1767,78.0081,0,7,2,37.0,0,224.36,0.358,49.48,298,1,App,9,1300,150,550
2024-08-02,Agra,27.1767,78.0081,0,8,4,32.7,1,816.06,-0.479,47.29,767,2,App,30,1300,150,550
2024-04-06,Goa,15.2993,74.124,1,4,5,36.5,0,184.79,0.124,85.89,883,1,Agent,10,2000,250,800
2024-04-23,Leh,34.1526,77.5771,0,4,1,14.8,0,144.33,0.669,107.8,82,2,App,3,600,90,220
2025-09-30,Goa,15.2993,74.124,0,9,1,30.2,0,1335.54,-0.051,69.73,708,3,App,8,2000,250,800
2024-02-17,Kerala,10.8505,76.2711,1,2,5,24.4,0,745.88,-0.202,68.49,841,3,Web,25,1700,220,700
2024-03-14,Goa,15.2993,74.124,0,3,3,30.9,0,481.31,-0.266,83.02,552,3,Agent,17,2000,250,800
2025-06-28,Agra,27.1767,78.0081,1,6,5,37.6,1,469.28,-1.0,55.74,451,2,Kiosk,19,1300,150,550
2024-08-12,Andaman,11.7401,92.6586,0,8,0,33.8,0,743.07,0.401,97.07,517,2,Kiosk,20,900,120,300
2024-04-21,Goa,15.2993,74.124,1,4,6,35.8,0,353.25,0.662,82.21,579,1,Agent,10,2000,250,800
2025-02-13,Varanasi,25.3176,82.9739,0,2,3,23.0,0,663.73,0.227,51.84,349,2,Kiosk,30,1400,160,500
2024-12-05,Manali,32.2432,77.1892,0,12,3,5.9,0,294.96,0.837,72.26,455,3,Agent,12,1200,140,450
2024-09-10,Goa,15.2993,74.124,0,9,1,29.8,1,426.48,0.127,79.99,602,3,Kiosk,3,2000,250,800
2025-02-24,Agra,27.1767,78.0081,0,2,0,22.3,0,38.84,0.357,67.96,770,2,Kiosk,13,1300,150,550
2025-08-31,Agra,27.1767,78.0081,1,8,6,32.7,0,724.79,0.564,56.2,580,2,Agent,2,1300,150,550
2024-07-27,Goa,15.2993,74.124,1,7,5,38.0,0,96.03,0.288,73.91,1034,1,Web,1,2000,250,800
2024-03-09,Jaipur,26.9124,75.7873,1,3,5,26.2,0,188.18,-1.0,54.29,296,2,Kiosk,8,1500,180,600
2025-03-27,Andaman,11.7401,92.6586,0,3,3,27.4,0,280.04,-0.77,88.13,446,1,Web,16,900,120,300
2024-01-03,Varanasi,25.3176,82.9739,0,1,2,18.5,0,163.97,-0.067,54.9,235,1,Agent,20,1400,160,500
2024-12-06,Agra,27.1767,78.0081,0,12,4,16.7,0,136.71,0.334,48.9,469,2,App,14,1300,150,550
2024-02-09,Leh,34.1526,77.5771,0,2,4,4.1,0,506.79,0.194,108.79,215,2,Kiosk,17,600,90,220
2024-11-18,Varanasi,25.3176,82.9739,0,11,0,18.0,0,1095.71,-0.724,47.26,339,1,App,3,1400,160,500
2025-08-19,Manali,32.2432,77.1892,0,8,1,18.6,0,382.2,-0.539,68.09,509,1,App,8,1200,140,450
2025-07-13,Varanasi,25.3176,82.9739,1,7,6,35.7,0,225.49,-0.302,43.61,566,2,App,22,1400,160,500
2025-05-19,Varanasi,25.3176,82.9739,0,5,0,35.5,0,214.15,0.187,49.18,519,3,Web,3,1400,160,500
2024-06-25,Agra,27.1767,78.0081,0,6,1,34.2,0,965.07,-0.256,51.19,875,1,App,20,1300,150,550
2024-05-15,Andaman,11.7401,92.6586,0,5,2,37.6,0,182.82,-0.279,89.89,348,1,Kiosk,32,900,120,300
2024-04-09,Manali,32.2432,77.1892,0,4,1,19.3,0,1719.05,0.674,74.24,311,1,Kiosk,16,1200,140,450
2025-01-15,Kerala,10.8505,76.2711,0,1,2,20.3,0,550.88,0.439,75.79,915,2,Web,15,1700,220,700
2024-06-29,Leh,34.1526,77.5771,1,6,5,20.6,0,1514.11,0.134,97.83,496,3,Kiosk,15,600,90,220
2024-12-24,Leh,34.1526,77.5771,0,12,1,2.3,0,522.33,0.267,99.28,293,1,App,21,600,90,220
2024-08-01,Goa,15.2993,74.124,0,8,3,37.7,0,720.41,0.671,79.31,687,2,Web,8,2000,250,800
2025-09-22,Leh,34.1526,77.5771,0,9,0,8.3,1,266.1,0.122,86.92,82,3,Web,9,600,90,220
